관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적
11710-100226585,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A47,지상,40.0,0,20.7525
11710-100226580,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A37,지상,10.0,3,6.4771
11710-100226584,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A47,지상,40.0,0,0.5458
11710-100226579,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A36,지상,40.0,0,16.6071
11710-100226583,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A45,지상,10.0,3,7.0935
11710-100218994,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,2101,지상,10.0,1,20.757
11710-100219034,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,3101,지상,20.0,1,66.11
11710-100218934,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,601,지상,20.0,1,190.83
11710-100218993,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,2004,지상,10.0,1,38.952
11710-100218945,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,804,지상,10.0,1,283.89
11710-100218952,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,1003,지상,20.0,1,13.953
11710-100218951,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,1002,지상,10.0,1,26.183
11710-100226263,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A35,지하,20.0,0,2.151
11710-100226571,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A65,지상,40.0,0,0.3593
11710-100226573,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A64-2,지상,40.0,0,13.9954
11710-100226574,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A63,지상,10.0,3,5.4585
11710-100226575,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A34,지상,40.0,0,0.42
11710-100226576,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A58,지상,40.0,0,10.9693
11710-100226577,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A35,지상,10.0,3,4.2783
11710-100226578,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A57,지상,40.0,0,0.3292
11710-100226559,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A23,지상,20.0,2,69.42
11710-100226572,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A64-1,지상,10.0,3,4.6701
11710-100226484,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A62,지상,10.0,1,33.57
11710-100226483,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A27,지상,22.0,1,30.1
11710-100226482,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A28,지상,21.0,-1,62.97
11710-100226254,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B06,지상,40.0,0,7.39
11710-100226258,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A28,지하,10.0,0,3.43
11710-100226259,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A30,지하,40.0,0,4.802
11710-100226260,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A29,지하,40.0,0,1.166
11710-100226255,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,C5,지하,40.0,0,1.795
11710-100226261,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A31,지하,10.0,0,2.229
11710-100226262,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A32,지하,40.0,0,0.694
11710-100226257,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,C6,지하,20.0,0,3.309
11710-100226269,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A38,지하,40.0,0,8.671
11710-100226270,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A41,지하,20.0,0,3.883
11710-100226271,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A42,지하,40.0,0,1.253
11710-100226272,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A43-1,지하,10.0,0,4.025
11710-100226582,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A48,지상,40.0,0,18.1876
11710-100226264,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A33,지하,40.0,0,5.843
11710-100226267,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A36-2,지하,10.0,0,2.712
11710-100226278,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B02,지상,10.0,0,31.098
11710-100226265,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A34,지하,20.0,0,2.616
11710-100226266,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A36-1,지하,40.0,0,1.419
11710-100226581,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A56,지상,40.0,0,0.4983
11710-100226558,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A22,지상,20.0,1,63.3875
11710-100226590,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A16,지상,40.0,0,0.8671
11710-100226586,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A48,지상,10.0,3,8.0939
11710-100226589,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A21,지상,10.0,3,11.27
11710-100226588,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A65,지상,40.0,0,28.896
11710-100226587,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A26,지상,40.0,0,0.6227
11710-100226359,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A72-1,지하,20.0,0,52.41
11710-100226277,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B03,지상,40.0,0,16.27
11710-100226268,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A37,지하,40.0,0,0.844
11710-100226276,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B04,지상,40.0,0,9.682
11710-100226275,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A45,지하,20.0,0,30.001
11710-100226219,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,3A32,지상,20.0,0,33.24
11710-100226485,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A63,지상,20.0,1,34.43
11710-100226557,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A20,지상,20.0,1,41.8688
11710-100226274,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A44,지하,40.0,0,66.995
11710-100226273,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A43-2,지하,40.0,0,2.106
11710-100226493,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A12,지상,10.0,1,22.26
11710-100224884,11710-100224773,지상,서울특별시 송파구 양재대로72길 5,,101동 1403호,지상,40.0,0,17.87
11710-100226556,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A18,지상,20.0,1,53.4188
11500-100202456,11500-100202454,지상,서울특별시 강서구 화곡로20길 19-6,동원빌라,201호,지상,40.0,0,5.45
11710-100226555,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A17,지상,20.0,1,45.7038
11710-100226561,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A25,지상,20.0,2,110.293
11710-100226554,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A14,지상,20.0,1,53.2413
11710-100226560,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A24,지상,20.0,2,79.21
11710-100226223,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A92,지하,20.0,0,301.34
11710-100226222,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,5B23,지상,20.0,0,39.0
11710-100226220,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,5B24,지상,20.0,0,21.6
11710-100226221,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A17,지하,20.0,0,26.28
11710-100226256,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B05,지상,40.0,0,1.068
11710-100226570,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A61,지상,40.0,0,11.9741
11710-100226569,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A33,지상,40.0,0,0.4186
11710-100226494,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A10,지상,10.0,1,11.87
11710-100226568,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A30,지상,10.0,3,5.4403
11710-100226567,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A29,지상,40.0,0,13.9488
11545-100187097,11545-100186865,지상,서울특별시 금천구 가산디지털2로 53,한라시그마밸리,1803,지상,20.0,0,63.8
11710-100225874,11710-100225793,지상,서울특별시 송파구 올림픽로35길 10,상가B동,502,지상,20.0,1,42.24
11710-100221854,11710-100221750,지상,서울특별시 송파구 올림픽로 435,305동,2604,지상,20.0,1,23.1
11710-100217544,11710-100217492,지상,서울특별시 송파구 올림픽로 435,310동,1304,지상,40.0,0,11.04
11710-100232397,11710-100225793,지상,서울특별시 송파구 올림픽로35길 10,상가B동,505-1,지상,40.0,0,34.06
11710-100232398,11710-100225793,지상,서울특별시 송파구 올림픽로35길 10,상가B동,505-2,지상,40.0,0,3.21
11545-100187686,11545-10031,지상,서울특별시 금천구 가산디지털1로 168,우림 라이온스밸리,A-506-1,지상,40.0,0,20.7569
11545-100187685,11545-10031,지상,서울특별시 금천구 가산디지털1로 168,우림 라이온스밸리,A-506,지상,40.0,0,24.0239
11710-100212416,11710-100212415,지상,서울특별시 송파구 올림픽로 99,115동,101,지상,20.0,1,26.04
11710-100218181,11710-100218170,지상,서울특별시 송파구 올림픽로 435,308동,3304,지상,20.0,1,30.35
11710-100218182,11710-100218170,지상,서울특별시 송파구 올림픽로 435,308동,3401,지상,20.0,1,27.56
11500-100201414,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B210,지하,20.0,2,39.22
11500-100201415,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B211,지하,20.0,1,39.22
11500-100201473,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,G023호,지상,40.0,0,11.13
11500-100201424,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B220,지하,20.0,1,41.34
11500-100201423,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B219,지하,20.0,1,41.34
11500-100201416,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B212,지하,20.0,1,39.22
11500-100201417,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B213,지하,20.0,1,39.22
11500-100201419,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B215,지하,20.0,1,39.22
11500-100201422,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B218,지하,20.0,1,41.34
11500-100201421,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B217,지하,20.0,1,40.28
11500-100201418,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B214,지하,20.0,1,39.22
11500-100201420,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B216,지하,20.0,1,40.28
11500-100201408,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B204,지하,20.0,1,41.34
11500-100201409,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B205,지하,20.0,1,41.34
11500-100201410,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B206,지하,20.0,1,41.34
11500-100201411,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B207,지하,20.0,1,40.28
11500-100201412,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B208,지하,20.0,1,40.28
11500-100201413,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B209,지하,20.0,1,39.22
11710-100232258,11710-100232257,지상,서울특별시 송파구 송파대로36길 37-17,,201호,지상,20.0,0,41.65
11500-100202677,11500-100202668,지상,서울특별시 강서구 강서로12길 15-20,성원빌라,502,지상,40.0,0,5.72
11500-100199648,11500-100199630,지상,서울특별시 강서구 강서로33가길 86,101동,401,지상,10.0,1,14.31
11500-100192713,11500-100192369,지상,서울특별시 강서구 강서로 266,139동,1704호,지상,10.0,0,34.3936
11500-100196993,11500-100196988,지상,서울특별시 강서구 까치산로14길 41-7,보라파크,502호,지상,40.0,0,22.6
11500-100224698,11500-100224686,지상,서울특별시 강서구 가로공원로 227,B동,402,지상,40.0,0,22.9
11710-100231075,11710-100231071,지상,서울특별시 송파구 백제고분로45길 22-11,,302,지상,40.0,0,10.8102
11680-51233,11680-1672,지상,서울특별시 강남구 삼성로 212,17,1202호,지상,10.0,1,47.25
11680-48636,11680-1511,지상,서울특별시 강남구 압구정로 151,105,603호,지상,20.0,5,3.71
11680-58646,11680-4242,지상,서울특별시 강남구 언주로 427,,2410호,지상,40.0,0,10.0
11500-100221346,11500-100221341,지상,서울특별시 강서구 공항대로 476,,301,지상,10.0,1,2.97
11500-100196691,11500-100196673,지상,서울특별시 강서구 강서로47마길 15,수명산 태송팰리채,307,지상,20.0,3,50.02
11545-100185899,11545-100185805,지상,서울특별시 금천구 가산디지털1로 145,에이스하이엔드타워3,2001,지상,20.0,1,30.86
11545-100185909,11545-100185805,지상,서울특별시 금천구 가산디지털1로 145,에이스하이엔드타워3,B110,지하,40.0,0,0.68
11545-100185910,11545-100185805,지상,서울특별시 금천구 가산디지털1로 145,에이스하이엔드타워3,B112,지하,20.0,1,1.67
11545-100185911,11545-100185805,지상,서울특별시 금천구 가산디지털1로 145,에이스하이엔드타워3,B114,지하,10.0,1,3.79
11710-100213913,11710-100213894,지상,서울특별시 송파구 올림픽로 99,120동,2002,지상,40.0,0,0.8415
11710-100222254,11710-100222252,지상,서울특별시 송파구 올림픽로 435,223동,102,지상,40.0,0,15.84
11680-34474,11680-2008,지상,서울특별시 강남구 학동로 513,5,1101호,지상,20.0,1,63.75
11500-100200226,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B03호,지하,40.0,2,23.559
11680-48547,11680-1510,지상,서울특별시 강남구 압구정로 151,101,505호,지상,20.0,4,5.05
11500-100215662,11500-100213948,지상,서울특별시 강서구 개화동로 561,,104A,지상,20.0,1,38.94
11500-100214145,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1302,지상,20.0,13,29.77
11500-100214144,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1305,지상,20.0,13,1.11
11500-100214143,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1306,지상,20.0,0,0.93
11500-100214142,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1304,지상,20.0,0,5.07
11500-100214140,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1307,지상,20.0,1,3.68
11500-100214139,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1309,지상,20.0,0,1.93
11500-100214138,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1311,지상,20.0,0,10.47
11500-100214137,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1312,지상,20.0,0,0.36
11500-100214136,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1313,지상,20.0,1,1.41
11500-100214141,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1303,지상,20.0,0,27.44
11500-100214119,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1214,지상,10.0,1,2.69
11500-100214118,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1215,지상,10.0,1,14.55
11500-100214117,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1216,지상,10.0,1,78.38
11500-100214116,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1210,지상,10.0,1,10.58
11500-100214115,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1208,지상,20.0,13,96.73
11500-100214114,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1201,지상,20.0,1,81.72
11500-100214113,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1102,지상,20.0,1,31.2
11500-100214108,11500-100213948,지상,서울특별시 강서구 개화동로 561,,1107,지상,10.0,1,233.5
11500-100213987,11500-100213948,지상,서울특별시 강서구 개화동로 561,,407,지상,20.0,1,1.08
11500-100214064,11500-100213948,지상,서울특별시 강서구 개화동로 561,,807,지상,10.0,1,6.0
11500-100214063,11500-100213948,지상,서울특별시 강서구 개화동로 561,,809,지상,10.0,1,3.69
11500-100214062,11500-100213948,지상,서울특별시 강서구 개화동로 561,,811,지상,40.0,0,28.77
11500-100214039,11500-100213948,지상,서울특별시 강서구 개화동로 561,,715,지상,10.0,1,144.82
11500-100214008,11500-100213948,지상,서울특별시 강서구 개화동로 561,,514,지상,10.0,1,963.43
11500-100213986,11500-100213948,지상,서울특별시 강서구 개화동로 561,,401,지상,20.0,1,2.22
11500-100213968,11500-100213948,지상,서울특별시 강서구 개화동로 561,,205,지상,20.0,1,27.25
11500-100213969,11500-100213948,지상,서울특별시 강서구 개화동로 561,,202,지상,20.0,1,13.2
11500-100200225,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B16호,지하,40.0,2,13.6603
11500-100200224,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B15호,지하,40.0,2,5.7288
11500-100200223,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B14호,지하,40.0,2,23.559
11500-100200222,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B13호,지하,40.0,2,6.0304
11500-100200221,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B12호,지하,40.0,2,14.3793
11500-100200220,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B11호,지하,40.0,2,24.7989
11500-100200219,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B10호,지하,40.0,2,6.0304
11500-100200218,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B09호,지하,40.0,2,14.3793
11500-100200217,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B08호,지하,40.0,2,24.7989
11500-100200215,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B06호,지하,40.0,2,14.3793
11500-100200216,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B07호,지하,40.0,2,6.0304
11500-100200214,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B05호,지하,40.0,2,24.7989
11500-100200213,11500-100196173,지상,서울특별시 강서구 양천로 452,어위쉬 예다인,B04호,지하,40.0,2,14.3793
11710-100222121,11710-100222107,지상,서울특별시 송파구 올림픽로 435,229동,402,지상,40.0,0,11.43
11710-100213820,11710-100213736,지상,서울특별시 송파구 올림픽로 99,102동,2104,지상,40.0,0,9.0539
11680-48446,11680-1500,지상,서울특별시 강남구 압구정로11길 17,2,1209호,지상,20.0,3,30.55
11680-58558,11680-2367,지상,서울특별시 강남구 테헤란로79길 42,101동,602,지상,10.0,2,0.23
11710-100223134,11710-100223103,지상,서울특별시 송파구 올림픽로 435,225동,803,지상,20.0,1,32.06
11710-100222017,11710-100221895,지상,서울특별시 송파구 올림픽로 435,215동,3102,지상,20.0,0,43.0
11680-58595,11680-2369,지상,서울특별시 강남구 테헤란로79길 42,102동,504,지상,40.0,0,5.08
11710-100218710,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1003,지상,40.0,0,20.891
11710-100218709,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1002,지상,20.0,1,0.841
11710-100218708,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1001,지상,10.0,1,2.342
11710-100218707,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,903,지상,40.0,0,25.912
11710-100218706,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,902,지상,20.0,2,0.958
11710-100218689,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,303,지상,40.0,0,7.256
11710-100218686,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,203,지상,10.0,1,108.552
11710-100213857,11710-100213841,지상,서울특별시 송파구 올림픽로 99,110동,802,지상,40.0,0,9.9298
11710-100218682,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,102,지상,20.0,3,49.437
11710-100218697,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,602,지상,20.0,1,2.309
11710-100218696,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,601,지상,20.0,1,0.83
11710-100218695,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,503,지상,40.0,0,36.448
11710-100218694,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,502,지상,40.0,0,31.013
11710-100218693,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,501,지상,10.0,1,1.965
11710-100218692,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,403,지상,20.0,1,0.706
11710-100218691,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,402,지상,20.0,1,0.165
11710-100218690,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,401,지상,10.0,1,0.46
11710-100218681,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,101,지상,20.0,3,45.611
11710-100218715,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1202,지상,20.0,1,0.735
11710-100218714,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1201,지상,10.0,1,2.047
11710-100214239,11710-100214161,지상,서울특별시 송파구 올림픽로 99,131동,2303,지상,40.0,0,10.91
11710-100218727,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1602,지상,20.0,1,1.614
11710-100218726,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1601,지상,10.0,1,4.494
11710-100218725,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1503,지상,40.0,0,43.471
11710-100223676,11710-100223671,지상,서울특별시 송파구 올림픽로 435,214동,3502,지상,40.0,0,2.0132
11710-100218698,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,603,지상,40.0,0,23.889
11710-100218705,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,901,지상,10.0,1,2.667
11710-100218704,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,803,지상,40.0,0,27.204
11710-100218703,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,802,지상,10.0,1,1.888
11710-100218702,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,801,지상,20.0,2,0.679
11710-100218701,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,703,지상,40.0,0,19.26
11710-100218700,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,702,지상,20.0,1,0.841
11710-100218699,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,701,지상,10.0,1,2.342
11710-100218713,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1103,지상,40.0,0,22.644
11710-100218712,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1102,지상,20.0,1,0.678
11710-100218711,11710-100218680,지상,서울특별시 송파구 올림픽로 435,201동,1101,지상,10.0,1,1.888
11710-100212557,11710-100212519,지상,서울특별시 송파구 올림픽로 99,107동,1002,지상,20.0,0,175.119
11500-100198352,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,B-1709호,지상,20.0,1,30.1
11500-100198353,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,B-1708호,지상,20.0,1,35.7
11500-100216468,11500-100216459,지상,서울특별시 강서구 공항대로65길 50,,402,지상,10.0,1,2.22
11680-48623,11680-1511,지상,서울특별시 강남구 압구정로 151,105,201호,지상,20.0,3,6.29
11710-100212819,11710-100212760,지상,서울특별시 송파구 올림픽로 99,116동,1603,지상,20.0,2,1.57
11680-59062,11680-4242,지상,서울특별시 강남구 언주로 427,,621호,지상,10.0,1,233.43
11710-100228655,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,T-10009-1,지상,10.0,1,15.03
11710-100228654,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,T-10008-1,지상,10.0,1,178.917
11710-100228653,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,T-10007-1,지상,10.0,1,22.052
11710-100211406,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-1022,지상,20.0,1,18.0
11710-100208814,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-5048,지상,20.0,0,82.12
11710-100208824,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6047,지상,20.0,1,2.88
11710-100208825,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6046,지상,10.0,1,2.94
11710-100208833,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6067,지상,10.0,1,2.58
11710-100208812,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-5054,지상,20.0,0,19.2
11710-100208811,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-5055,지상,20.0,0,24.52
11710-100208813,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-5053,지상,20.0,0,82.12
11710-100208810,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-5056,지상,10.0,0,93.64
11710-100208826,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6045,지상,40.0,0,6.8
11710-100208827,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6044,지상,20.0,1,0.75
11710-100208828,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6072,지상,10.0,1,0.77
11710-100208829,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6071,지상,40.0,0,5.32
11710-100208830,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6070,지상,20.0,1,0.59
11710-100208823,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6048,지상,40.0,0,25.96
11710-100208832,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6068,지상,40.0,0,22.77
11710-100208831,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6069,지상,10.0,1,0.6
11680-35817,11680-2169,지상,서울특별시 강남구 언주로30길 13,대림아크로텔,3110호,지상,10.0,5,18.5
11710-100208736,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,L-6062,지상,20.0,1,59.63
11710-100208835,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6065,지상,10.0,1,2.58
11710-100208834,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,F-6066,지상,40.0,0,22.77
11680-48672,11680-1514,지상,서울특별시 강남구 압구정로 151,111,1101호,지상,20.0,1,1.42
11710-100210412,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,L-2103,지상,20.0,3,136.21
11710-100210411,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,L-2104,지상,20.0,2,109.7
11710-100210449,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,L-2064,지상,10.0,1,186.26
11710-100210362,11710-100206053,지상,서울특별시 송파구 충민로 66,가든파이브라이프,L-B1078,지하,20.0,1,24.4
11680-48513,11680-1510,지상,서울특별시 강남구 압구정로 151,101,804호,지상,20.0,5,48.49
